id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Вероятность_Нравится скорость отработки заявок,Вероятность_Нравится качество выполнения заявки,Вероятность_Нравится качество работы сотрудников,Вероятность_Понравилось выполнение заявки,Вероятность_Вопрос решен
3820641,5,"выполнена

",0.0,0.0,0.0,1.0,0.0,0.013452090837019417,0.028483821105628557,0.07152465454854956,0.9404321425643564,0.09817281778663801
3828569,5,"Все супер, Мастер 👍",0.0,0.0,1.0,0.0,0.0,0.13142978723404256,0.18718245407801656,0.9363137182634748,0.1786372536800512,0.03438305716377323
3829748,5,Благодарю ребят.,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3831509,5,Спасибо большое ,0.0,0.0,0.0,1.0,0.0,0.1676250842502003,0.49498784286336317,0.21058381111952676,0.7466197221231732,0.3412016081975945
3831883,5,спасибо,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3832952,5,Спасибо!,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3834081,5,"Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!",0.0,0.0,0.0,1.0,1.0,0.0008822748005090622,0.009352708002224383,0.10811695793650167,0.9453988395591943,0.7509886375673548
3835748,5,Благодарю за проделанную работу! ,0.0,0.0,1.0,0.0,0.0,0.052455975827507405,0.0,0.5245131539203838,0.4899807630414096,0.0055057945105409815
3835874,5,"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",0.0,0.0,0.0,0.0,1.0,0.12796058954450715,0.08303558287360349,0.0698061109703475,0.1796251296981616,0.7357445423864049
3839647,5,"Спасибо, всё чётко.",0.0,0.0,0.0,1.0,0.0,0.1318572681500731,0.11,0.04,0.9375095573905221,0.011866974155817646
3840353,5,Благодарю ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3841026,5,Спасибо Сергей ! )))),0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3842440,5,"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",0.0,0.0,1.0,1.0,0.0,0.17,0.08,0.991302701338046,0.768731159817726,0.0
3842790,5,хоть что то сделали 👍👏,0.0,0.0,0.0,0.0,1.0,0.04333758814636091,0.003868024782760411,0.03171465152961137,0.0995798415360652,0.9221232943865822
